n x_n
1 11.0
2 8.0
3 9.0
4 14.0
5 7.0
6 4.0
7 5.0
8 10.0
9 3.0
10 0.0
11 1.0
12 6.0
13 15.0
14 12.0
15 13.0
16 2.0
17 11.0
18 8.0
19 9.0
20 14.0
21 7.0
22 4.0
23 5.0
24 10.0
25 3.0
26 0.0
27 1.0
28 6.0
29 15.0
30 12.0
31 13.0
32 2.0
33 11.0
34 8.0
35 9.0
36 14.0
37 7.0
38 4.0
39 5.0
40 10.0
41 3.0
42 0.0
43 1.0
44 6.0
45 15.0
46 12.0
47 13.0
48 2.0
49 11.0
50 8.0
51 9.0
52 14.0
53 7.0
54 4.0
55 5.0
56 10.0
57 3.0
58 0.0
59 1.0
60 6.0
61 15.0
62 12.0
63 13.0
64 2.0
65 11.0
66 8.0
67 9.0
68 14.0
69 7.0
70 4.0
71 5.0
72 10.0
73 3.0
74 0.0
75 1.0
76 6.0
77 15.0
78 12.0
79 13.0
80 2.0
81 11.0
82 8.0
83 9.0
84 14.0
85 7.0
86 4.0
87 5.0
88 10.0
89 3.0
90 0.0
91 1.0
92 6.0
93 15.0
94 12.0
95 13.0
96 2.0
97 11.0
98 8.0
99 9.0
100 14.0
