x_n y_n
-10.796708923957112 -135.77758879819487
-543.8337911013275 -651.5694736023388
-489.0521524855773 -658.112629444996
-207.3401805544462 655.2644952412825
-245.36980461775192 174.34252025144997
993.1484603092986 -81.29250871057604
-183.60559933360582 645.3695160357199
543.787989679427 643.096221735987
521.0733760177686 -385.75949700572164
-379.9813026293359 -598.2112484903295
-306.91759087460537 -193.53508427287204
-296.4703650068752 895.7786647047378
-709.0662870076901 355.088860986672
945.3293694349006 217.95020823237383
818.3568759849802 344.726736103396
119.91420744425 -984.0347777879177
-372.81850700659083 -326.8801676547763
776.4000750477765 -285.4553315220836
349.14613164452794 -27.880025076376
-217.82510472287674 756.5648370681681
14.368247825953063 509.81738062239106
48.20700532822798 260.92988871467674
856.0018556331049 -247.032628086763
142.74613807785317 180.323189005514
336.6751375533602 474.65748769760853
-895.4826177869815 192.29290306391817
-345.8853918739708 -815.040735143898
-887.1967216570131 -195.45808372943372
-640.3446118724253 179.3729992634137
851.8663450020852 -769.1742339633574
876.0304458847838 -223.61148545355468
428.1854148681873 -880.4771005708217
465.37521781303326 167.91569514436446
-76.50464747113574 -666.54920527384
862.6585352118964 -303.8092361983
-187.15951331838494 -156.20176269683816
366.41154105469013 -501.0522607896757
299.8317361781244 539.9056041880995
197.53035732556418 102.62043110413242
-555.9212158406483 -947.4158889823278
364.71433827275746 541.9516313719148
756.1126052046923 -813.5649728093255
593.4345265621369 405.5924067877654
-135.99550440383814 159.07766418671963
835.7564383167796 198.4356148525726
563.6673554535118 714.539943455721
451.5005566985435 102.33929344333137
-750.2906130208145 -835.3119953441372
832.6168987058227 466.9915943867129
-224.57801253940772 67.71525410201184
-410.14090894594335 -315.82187788487226
233.46282944502855 -56.77777758547961
-64.30754203743106 -556.8558562332506
-489.3221713108733 -647.0490986325448
677.991777408356 -50.927943922283816
-642.7615952806432 -277.5255209320602
-545.7716586062178 648.8795461985319
319.75289206861294 -707.9997331773067
-41.76750991409415 639.1383255179728
-853.1053153245942 -632.2620596313313
-722.0798574607743 126.0265059759829
-775.3856327230975 -751.824019020738
-44.43006916324089 387.83756837963915
80.59245854084384 -924.0684296174064
916.1420982071297 -411.93331067691804
167.58462284692519 793.6350241880291
53.3281821698165 -432.35878207642054
844.5253776893096 -568.2788112556229
838.5140328954981 -942.9860819628177
-495.98227048361565 -929.2770361436868
365.2652214323077 746.90729128459
928.5522372034718 954.5991109982547
-546.0767059505104 -470.97119665606726
432.0343970705362 887.4613281715469
595.5202149835156 -919.7608472041825
873.5023992954216 -423.4566308540502
707.4449915708246 359.48100696325014
-156.9083865955414 238.32986209049182
-989.1202622783586 436.69950075451607
-930.269342437186 136.03542299703486
-972.1892686336 837.9208769156767
177.81986092489888 12.520358582061249
-234.0138074529723 761.6600755258626
-770.3621006669849 -67.00614569322806
728.9080177761236 -569.4530214288047
643.3140625998792 707.0845656342117
474.98336981641705 -685.9917003372527
680.6883402919291 -972.6526273216305
-196.94179306471767 424.1716475552223
497.2400025485085 -23.41326657207651
119.25889041885262 -494.54370667657497
226.47514794186213 239.53729627718644
-403.79669709273287 -357.14643785516125
204.75834696964716 -832.1160984053664
-148.64632078060322 911.8052780066298
77.08876966986577 -493.3545494155724
-26.540285698250614 799.4921040148056
-0.21672383020222696 907.7628923627408
834.918965110028 590.698415507296
-474.2459565348702 -657.3193621188318
