0.0	95.218
1E-3	94.729
0.002	94.241
0.003	93.753
0.004	92.776
0.005	92.776
0.006	92.288
0.007	91.311
0.008	90.823
0.009	90.335
0.01	89.846
0.011	89.358
0.012	88.382
0.013	87.893
0.014	86.917
0.015	86.428
0.016	85.452
0.017	84.964
0.018	84.475
0.019	83.499
0.02	83.01
0.021	82.034
0.022	81.545
0.023	81.057
0.024	80.081
0.025	79.592
0.026	78.616
0.027	78.127
0.028	77.151
0.029	76.662
0.03	76.174
0.031	75.198
0.032	74.709
0.033	74.221
0.034	73.244
0.035	72.756
0.036	71.78
0.037	71.291
0.038	70.803
0.039	69.826
0.04	69.338
0.041	68.85
0.042	67.873
0.043	67.385
0.044	66.897
0.045	66.408
0.046	65.92
0.047	65.432
0.048	64.455
0.049	63.967
0.05	63.478
0.051	62.99
0.052	62.502
0.053	62.014
0.054	61.525
0.055	61.037
0.056	60.549
0.057	60.06
0.058	59.084
0.059	59.084
0.06	58.596
0.061	58.107
0.062	57.619
0.063	57.131
0.064	57.131
0.065	56.642
0.066	56.642
0.067	55.666
0.068	55.666
0.069	54.689
0.07	54.689
0.071	54.689
0.072	53.713
0.073	53.713
0.074	53.224
0.075	52.736
0.076	52.736
0.077	52.248
0.078	51.759
0.079	51.759
0.08	51.759
0.081	51.271
0.082	50.783
0.083	50.783
0.084	50.295
0.085	50.295
0.086	50.295
0.087	49.806
0.088	49.806
0.089	49.318
0.09	49.318
0.091	48.83
0.092	48.83
0.093	48.83
0.094	48.341
0.095	48.341
0.096	47.853
0.097	47.853
0.098	47.853
0.099	47.853
0.1	47.365
0.101	47.365
0.102	46.876
0.103	46.876
0.104	46.876
0.105	46.876
0.106	46.388
0.107	46.388
0.108	46.388
0.109	45.9
0.11	45.9
0.111	45.9
0.112	45.9
0.113	45.9
0.114	45.412
0.115	45.9
0.116	45.412
0.117	45.412
0.118	45.412
0.119	45.412
0.12	44.923
